Name,Phone,Email,Location,Subjects,Grade_Level,Tutoring_Approach,Rates_Per_Hour,Mode_of_Tutoring,Experience_Years,Education
Rajni Nanda,9410850230,rajni.nanda@gmail.com,Jharsuguda,Political Science,Class 11-12 all,Interactive and student-centered,475,In-person,1,B.Ed
Shreya Ghosh,7150672753,shreya.ghosh@gmail.com,Dhenkanal,Business Studies,Class 1-5 all,Interactive and student-centered,972,Both,14,PhD
Aman Dharma,8486307454,aman.dharma@gmail.com,Jagatsinghpur,Mathematics,Only 9th-10th CHSE,Interactive and student-centered,679,Both,16,PhD
Suman Barik,9165469941,suman.barik@gmail.com,Rayagada,Physical Education,Class 11-12 CHSE & CBSE,Interactive and student-centered,526,In-person,2,M.Sc
Shivani Tripathy,8675594576,shivani.tripathy@gmail.com,Mayurbhanj,Accountancy,Class 1-5 all,Interactive and student-centered,389,Both,14,M.Sc
Kaveri Mohapatra,7482252279,kaveri.mohapatra@gmail.com,Kalahandi,Physical Education,Class 1-5 CHSE,Interactive and student-centered,450,In-person,5,M.A
Jaya Khatua,7506239564,jaya.khatua@gmail.com,Dhenkanal,Dance,Class 1-5 CBSE,Interactive and student-centered,471,Online,6,B.Ed
Nandini Das,7415125794,nandini.das@gmail.com,Dhenkanal,English,Class 6-10 CHSE & CBSE,Interactive and student-centered,569,Online,13,B.Sc
Aditya Choudhury,9686558194,aditya.choudhury@gmail.com,Dhenkanal,Environmental Studies,Class 11-12 all,Interactive and student-centered,713,Both,14,B.Ed
Divyansh Nayak,8115621721,divyansh.nayak@gmail.com,Ganjam,Mathematics,Class 6-10 CHSE,Interactive and student-centered,740,Both,2,M.Sc
Asha Sarma,7815498030,asha.sarma@gmail.com,Angul,Chemistry,Class 11-12 all,Interactive and student-centered,465,Both,5,PhD
Ojas Patnaik,7375289514,ojas.patnaik@gmail.com,Bhadrak,Physics,Only 9th-10th CBSE,Interactive and student-centered,853,Online,1,PhD
Jagruti Mallick,8546428968,jagruti.mallick@gmail.com,Cuttack,Hindi,Class 1-5 CHSE & CBSE,Interactive and student-centered,318,In-person,1,B.Ed
Abhijeet Dandapat,7254299009,abhijeet.dandapat@gmail.com,Nayagarh,Mathematics,Class 1-5 all,Interactive and student-centered,928,Both,12,M.A
Lakshmi Das,9178857001,lakshmi.das@gmail.com,Koraput,Art and Craft,Class 6-10 CHSE & CBSE,Interactive and student-centered,590,In-person,4,B.Sc
Ramya Mallick,8398880471,ramya.mallick@gmail.com,Jharsuguda,Political Science,Class 6-10 CBSE,Interactive and student-centered,372,Online,10,B.Ed
Gauri Mandal,7159439091,gauri.mandal@gmail.com,Cuttack,Statistics,Class 11-12 ICSE,Interactive and student-centered,655,In-person,7,B.Sc
Lakshmi Sain,9620673254,lakshmi.sain@gmail.com,Cuttack,Environmental Studies,Class 6-10 all,Interactive and student-centered,568,Online,1,M.A
Sanjoy Patra,7427629934,sanjoy.patra@gmail.com,Bargarh,Physical Education,Class 11-12 all,Interactive and student-centered,420,Both,11,B.Ed
Avani Maharana,9895702914,avani.maharana@gmail.com,Kendrapara,Computer Science,Only 9th-10th all,Interactive and student-centered,811,Both,12,PhD
Priyank Bardhan,7617002183,priyank.bardhan@gmail.com,Bhadrak,Political Science,Class 11-12 all,Interactive and student-centered,535,In-person,6,M.A
Laxman Kumar,7855230986,laxman.kumar@gmail.com,Nayagarh,Art and Craft,Class 6-10 CHSE & CBSE,Interactive and student-centered,320,In-person,12,B.Ed
Tanvi Reddy,7172064974,tanvi.reddy@gmail.com,Sundargarh,Moral Science,Class 1-5 CHSE & CBSE,Interactive and student-centered,670,In-person,12,PhD
Karishma Bansal,9325667242,karishma.bansal@gmail.com,Cuttack,Sociology,Only 9th-10th CHSE,Interactive and student-centered,911,Online,19,PhD
